user_id,hour,login_count,total_logins,first_login,last_login,anomaly,is_anomaly
user1,0,12,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,1,8,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,2,8,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,3,10,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,4,8,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,5,16,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,6,10,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,7,13,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,8,12,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,9,12,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,10,14,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,11,19,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,-1,True
user1,12,11,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,13,7,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,14,8,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,15,9,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,16,9,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,17,9,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,18,6,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,19,12,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,20,12,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,21,12,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,22,11,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user1,23,8,256,2025-09-15 00:23:56.974642,2025-09-21 22:20:56.977076,1,False
user2,0,8,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,1,9,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,2,14,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,3,7,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,4,6,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,5,5,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,6,10,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,7,9,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,8,6,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,9,10,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,10,10,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,11,13,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,12,8,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,13,14,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,14,8,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,15,8,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,16,11,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,17,6,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,18,9,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,19,11,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,1,False
user2,20,17,231,2025-09-14 23:42:56.971675,2025-09-21 21:53:56.977701,-1,True
