user_id,timestamp,device_id,action
user1,2025-09-16 16:07:43.604623,USB3,insert
user3,2025-09-19 20:16:43.604651,USB3,insert
user2,2025-09-19 12:33:43.604661,USB2,insert
user3,2025-09-16 04:59:43.604669,USB1,remove
user1,2025-09-17 05:02:43.604676,USB2,remove
user4,2025-09-16 19:39:43.604682,USB2,remove
user4,2025-09-18 10:29:43.604688,USB1,remove
user1,2025-09-16 22:06:43.604694,USB3,insert
user1,2025-09-20 22:09:43.604701,USB1,remove
user4,2025-09-18 14:48:43.604707,USB1,remove
user3,2025-09-20 00:50:43.604713,USB1,insert
user3,2025-09-17 13:57:43.604720,USB1,insert
user2,2025-09-21 08:04:43.604726,USB1,remove
user1,2025-09-20 09:55:43.604732,USB3,remove
user2,2025-09-16 15:52:43.604738,USB2,insert
user1,2025-09-16 06:52:43.604744,USB1,remove
user1,2025-09-20 22:46:43.604749,USB1,insert
user4,2025-09-19 23:03:43.604772,USB3,insert
user1,2025-09-19 03:06:43.604780,USB1,insert
user4,2025-09-19 08:51:43.604787,USB1,insert
user4,2025-09-21 13:29:43.604793,USB1,insert
user1,2025-09-18 00:14:43.604800,USB2,insert
user2,2025-09-18 04:12:43.604806,USB3,remove
user2,2025-09-15 21:48:43.604812,USB2,insert
user2,2025-09-17 09:26:43.604819,USB2,insert
user3,2025-09-17 21:09:43.604825,USB1,insert
user4,2025-09-18 19:16:43.604831,USB2,insert
user4,2025-09-19 22:34:43.604838,USB3,remove
user3,2025-09-15 03:26:43.604844,USB3,remove
user1,2025-09-15 11:08:43.604851,USB3,remove
user1,2025-09-15 15:54:43.604857,USB3,insert
user3,2025-09-20 19:13:43.604864,USB3,remove
user1,2025-09-15 09:26:43.604870,USB1,remove
user2,2025-09-15 03:36:43.604877,USB3,insert
user3,2025-09-17 05:35:43.604883,USB3,remove
user3,2025-09-19 21:49:43.604889,USB2,insert
user4,2025-09-15 14:24:43.604895,USB1,insert
user3,2025-09-20 16:04:43.604901,USB2,insert
user1,2025-09-20 19:57:43.604907,USB3,insert
user4,2025-09-19 17:09:43.604913,USB2,remove
user3,2025-09-15 04:03:43.604919,USB1,insert
user2,2025-09-21 16:18:43.604926,USB3,insert
user4,2025-09-17 00:07:43.604933,USB1,remove
user4,2025-09-19 21:33:43.604939,USB1,insert
user2,2025-09-18 11:36:43.604946,USB3,remove
user2,2025-09-19 18:57:43.604953,USB2,remove
user3,2025-09-19 10:16:43.604959,USB2,insert
user4,2025-09-17 19:16:43.604966,USB3,remove
user3,2025-09-21 13:55:43.604972,USB1,remove
user3,2025-09-20 19:22:43.604979,USB3,insert
user4,2025-09-15 01:13:43.604985,USB2,insert
user2,2025-09-21 02:17:43.604992,USB3,insert
user3,2025-09-17 13:10:43.604998,USB2,insert
user3,2025-09-18 11:07:43.605004,USB3,insert
user3,2025-09-15 00:41:43.605010,USB1,insert
user2,2025-09-21 04:06:43.605016,USB3,remove
user4,2025-09-17 20:26:43.605022,USB3,insert
user4,2025-09-18 10:39:43.605029,USB2,remove
user2,2025-09-18 22:09:43.605035,USB2,insert
user4,2025-09-15 20:13:43.605041,USB2,insert
user2,2025-09-19 08:09:43.605047,USB1,insert
user2,2025-09-17 02:24:43.605053,USB2,insert
user2,2025-09-15 20:37:43.605060,USB2,insert
user4,2025-09-20 06:16:43.605067,USB2,insert
user4,2025-09-19 12:18:43.605073,USB2,insert
user4,2025-09-19 01:08:43.605081,USB3,insert
user4,2025-09-17 14:52:43.605087,USB3,remove
user4,2025-09-18 19:30:43.605093,USB3,remove
user3,2025-09-18 19:35:43.605099,USB1,remove
user3,2025-09-21 08:38:43.605105,USB2,insert
user4,2025-09-17 22:41:43.605111,USB2,insert
user2,2025-09-20 02:38:43.605117,USB1,remove
user1,2025-09-15 16:07:43.605124,USB1,remove
user3,2025-09-18 09:27:43.605130,USB3,insert
user1,2025-09-16 23:52:43.605136,USB2,insert
user4,2025-09-16 13:54:43.605142,USB3,remove
user2,2025-09-16 18:04:43.605149,USB2,insert
user1,2025-09-21 07:29:43.605156,USB2,remove
user3,2025-09-16 04:01:43.605163,USB3,remove
user4,2025-09-19 21:55:43.605169,USB2,remove
user1,2025-09-17 21:46:43.605176,USB3,remove
user1,2025-09-16 10:56:43.605182,USB1,insert
user2,2025-09-16 19:10:43.605188,USB3,insert
user4,2025-09-17 21:16:43.605196,USB2,insert
user3,2025-09-18 16:37:43.605202,USB2,remove
user3,2025-09-19 03:50:43.605208,USB2,remove
user2,2025-09-19 02:05:43.605214,USB1,remove
user2,2025-09-16 14:58:43.605220,USB1,insert
user3,2025-09-18 00:28:43.605226,USB2,insert
user2,2025-09-15 12:36:43.605232,USB3,remove
user3,2025-09-19 07:43:43.605238,USB1,remove
user2,2025-09-19 18:02:43.605244,USB2,remove
user3,2025-09-18 05:25:43.605250,USB1,remove
user1,2025-09-18 10:13:43.605257,USB1,remove
user3,2025-09-20 22:55:43.605264,USB2,insert
user4,2025-09-17 22:36:43.605270,USB3,remove
user4,2025-09-19 21:00:43.605276,USB1,insert
user2,2025-09-18 01:54:43.605283,USB3,insert
user4,2025-09-19 18:48:43.605288,USB1,remove
user1,2025-09-15 06:48:43.605299,USB2,insert
user3,2025-09-15 03:19:43.605306,USB1,insert
user1,2025-09-15 21:07:43.605312,USB3,remove
user2,2025-09-18 09:56:43.605318,USB1,insert
user2,2025-09-20 23:02:43.605325,USB1,remove
user1,2025-09-17 22:18:43.605330,USB3,insert
user3,2025-09-20 14:07:43.605336,USB1,insert
user4,2025-09-19 08:27:43.605343,USB1,remove
user3,2025-09-16 19:33:43.605348,USB3,remove
user2,2025-09-17 04:30:43.605354,USB3,insert
user3,2025-09-19 17:20:43.605361,USB1,insert
user1,2025-09-18 02:06:43.605367,USB1,remove
user1,2025-09-15 05:18:43.605374,USB1,remove
user3,2025-09-20 10:15:43.605380,USB3,remove
user4,2025-09-20 14:50:43.605386,USB3,remove
user3,2025-09-21 20:23:43.605392,USB2,remove
user4,2025-09-19 21:16:43.605399,USB1,insert
user4,2025-09-21 22:10:43.605405,USB2,remove
user4,2025-09-20 06:52:43.605411,USB1,remove
user4,2025-09-15 21:31:43.605417,USB3,remove
user3,2025-09-20 17:24:43.605423,USB2,remove
user3,2025-09-16 14:46:43.605430,USB1,remove
user4,2025-09-15 03:56:43.605436,USB2,remove
user4,2025-09-19 11:55:43.605442,USB2,insert
user1,2025-09-17 12:09:43.605448,USB3,remove
user3,2025-09-20 17:53:43.605454,USB1,remove
user3,2025-09-15 05:57:43.605461,USB2,insert
user4,2025-09-17 13:28:43.605467,USB1,remove
user4,2025-09-20 03:29:43.605473,USB2,remove
user3,2025-09-19 01:00:43.605479,USB2,insert
user3,2025-09-19 15:14:43.605487,USB1,remove
user3,2025-09-21 17:24:43.605494,USB1,remove
user3,2025-09-21 13:10:43.605500,USB3,insert
user1,2025-09-19 00:35:43.605506,USB3,remove
user3,2025-09-17 17:30:43.605512,USB2,remove
user3,2025-09-15 08:41:43.605519,USB3,insert
user1,2025-09-17 14:56:43.605526,USB1,insert
user1,2025-09-17 23:55:43.605531,USB1,insert
user4,2025-09-20 06:19:43.605537,USB3,remove
user2,2025-09-17 07:47:43.605544,USB3,insert
user3,2025-09-20 23:10:43.605550,USB3,insert
user1,2025-09-19 20:42:43.605556,USB3,remove
user2,2025-09-16 14:55:43.605562,USB1,insert
user4,2025-09-15 06:19:43.605568,USB2,insert
user1,2025-09-16 14:04:43.605574,USB1,remove
user2,2025-09-21 12:28:43.605581,USB2,remove
user2,2025-09-18 04:46:43.605587,USB3,remove
user2,2025-09-18 19:30:43.605594,USB3,remove
user2,2025-09-17 06:31:43.605600,USB3,remove
user3,2025-09-17 06:21:43.605606,USB1,remove
user3,2025-09-16 19:25:43.605613,USB2,insert
user2,2025-09-17 19:14:43.605619,USB1,insert
user2,2025-09-15 18:54:43.605625,USB1,remove
user2,2025-09-17 20:01:43.605632,USB3,insert
user3,2025-09-20 00:16:43.605638,USB1,insert
user1,2025-09-18 05:02:43.605644,USB1,insert
user2,2025-09-20 10:37:43.605651,USB2,remove
user1,2025-09-17 11:55:43.605657,USB2,remove
user1,2025-09-19 06:43:43.605663,USB2,remove
user3,2025-09-15 21:13:43.605669,USB1,insert
user2,2025-09-16 17:11:43.605676,USB3,remove
user1,2025-09-19 17:43:43.605683,USB1,remove
user3,2025-09-16 18:02:43.605689,USB3,remove
user4,2025-09-21 20:45:43.605696,USB2,remove
user4,2025-09-21 21:33:43.605703,USB3,insert
user2,2025-09-16 00:21:43.605710,USB3,insert
user4,2025-09-21 11:01:43.605716,USB1,remove
user2,2025-09-20 03:22:43.605722,USB2,remove
user2,2025-09-17 23:29:43.605728,USB1,remove
user3,2025-09-15 22:58:43.605734,USB2,insert
user4,2025-09-17 15:45:43.605741,USB2,remove
user2,2025-09-16 15:00:43.605747,USB3,remove
user1,2025-09-17 10:57:43.605753,USB1,insert
user4,2025-09-17 15:38:43.605759,USB3,remove
user1,2025-09-18 11:44:43.605768,USB3,insert
user3,2025-09-15 16:23:43.605775,USB3,remove
user4,2025-09-19 01:22:43.605782,USB3,insert
user1,2025-09-17 19:58:43.605790,USB2,insert
user4,2025-09-16 20:20:43.605796,USB1,remove
user1,2025-09-15 02:52:43.605802,USB3,insert
user2,2025-09-20 05:10:43.605808,USB3,insert
user3,2025-09-19 17:48:43.605815,USB1,insert
user3,2025-09-21 09:33:43.605821,USB3,insert
user2,2025-09-21 10:14:43.605827,USB1,insert
user2,2025-09-21 16:22:43.605833,USB3,insert
user2,2025-09-20 04:57:43.605839,USB1,insert
user2,2025-09-16 04:43:43.605863,USB2,insert
user1,2025-09-18 08:15:43.605870,USB3,insert
user2,2025-09-18 10:49:43.605877,USB2,insert
user1,2025-09-17 18:31:43.605883,USB3,insert
user2,2025-09-21 14:58:43.605891,USB2,remove
user2,2025-09-20 18:57:43.605897,USB3,remove
user2,2025-09-15 23:16:43.605903,USB2,insert
user3,2025-09-20 08:45:43.605909,USB2,insert
user4,2025-09-20 12:53:43.605916,USB1,remove
user3,2025-09-16 13:27:43.605922,USB2,insert
user3,2025-09-18 05:06:43.605928,USB1,remove
user2,2025-09-18 15:15:43.605934,USB1,insert
user4,2025-09-16 09:51:43.605940,USB2,insert
user3,2025-09-20 13:56:43.605946,USB1,insert
user2,2025-09-15 04:09:43.605953,USB3,remove
user3,2025-09-17 09:35:43.605959,USB1,insert
user4,2025-09-20 12:41:43.605967,USB1,remove
user2,2025-09-20 11:12:43.605973,USB3,insert
user4,2025-09-20 05:49:43.605979,USB1,remove
user3,2025-09-15 14:46:43.605985,USB1,remove
user1,2025-09-15 12:09:43.605992,USB1,insert
user3,2025-09-20 02:14:43.605998,USB1,remove
