user_id,timestamp,file_name,action
user2,2025-09-16 22:58:43.586434,fileA.txt,write
user1,2025-09-16 16:49:43.586469,fileC.doc,delete
user3,2025-09-21 14:55:43.586485,fileB.txt,write
user4,2025-09-17 09:07:43.586497,fileB.txt,read
user4,2025-09-17 21:17:43.586509,fileC.doc,write
user1,2025-09-18 22:24:43.586520,fileB.txt,read
user3,2025-09-17 11:15:43.586530,fileB.txt,write
user4,2025-09-20 01:03:43.586540,fileC.doc,delete
user3,2025-09-15 12:32:43.586550,fileC.doc,write
user4,2025-09-18 09:18:43.586559,fileA.txt,write
user3,2025-09-18 23:24:43.586568,fileA.txt,delete
user2,2025-09-19 06:43:43.586578,fileC.doc,write
user3,2025-09-15 05:19:43.586588,fileA.txt,delete
user2,2025-09-19 16:55:43.586597,fileB.txt,write
user3,2025-09-20 23:23:43.586606,fileA.txt,read
user2,2025-09-20 06:30:43.586616,fileA.txt,write
user1,2025-09-19 19:58:43.586626,fileB.txt,delete
user1,2025-09-21 10:24:43.586636,fileA.txt,read
user1,2025-09-18 19:08:43.586645,fileB.txt,read
user3,2025-09-20 10:51:43.586655,fileA.txt,delete
user3,2025-09-18 08:04:43.586664,fileB.txt,read
user1,2025-09-20 00:09:43.586672,fileC.doc,write
user3,2025-09-18 03:35:43.586681,fileB.txt,delete
user1,2025-09-21 10:57:43.586690,fileB.txt,read
user1,2025-09-19 05:54:43.586700,fileC.doc,read
user3,2025-09-19 01:01:43.586709,fileA.txt,read
user1,2025-09-21 20:41:43.586719,fileB.txt,write
user1,2025-09-19 01:19:43.586728,fileC.doc,read
user1,2025-09-17 01:37:43.586737,fileA.txt,write
user2,2025-09-18 12:36:43.586746,fileC.doc,write
user1,2025-09-20 05:10:43.586755,fileC.doc,write
user2,2025-09-20 19:12:43.586764,fileA.txt,delete
user2,2025-09-20 09:41:43.586773,fileA.txt,write
user3,2025-09-16 03:01:43.586782,fileC.doc,delete
user3,2025-09-20 17:04:43.586791,fileA.txt,write
user4,2025-09-15 02:41:43.586799,fileB.txt,read
user4,2025-09-16 11:53:43.586809,fileA.txt,write
user3,2025-09-18 16:55:43.586818,fileC.doc,read
user3,2025-09-18 23:37:43.586827,fileA.txt,read
user2,2025-09-21 19:11:43.586836,fileC.doc,read
user3,2025-09-16 03:51:43.586845,fileB.txt,read
user2,2025-09-21 14:28:43.586855,fileB.txt,delete
user3,2025-09-16 09:50:43.586864,fileB.txt,delete
user4,2025-09-17 05:47:43.586872,fileC.doc,write
user1,2025-09-16 04:12:43.586882,fileB.txt,read
user1,2025-09-15 22:24:43.586891,fileC.doc,read
